"Municipality"; ".. Anesthesiologist"; ".. General Surgeon"; ".. General Physician"; ".. Gineco Obstetra"; ".. Family Physician"; ".. Pediatrician"; ".. Psychiatrist" ; ".. Radiologist"; ".. Sanitary"; ".. Others"; "Dental surgeon"; "Nurse"; "Physiotherapist"; "Speech therapist"; "Nutritionist"; "Pharmacist"; "Social worker"; " Psychologist ";" Nursing Assistant ";" Nursing Technician ";" Total "
"110001 Alta Floresta D'Oeste";1;2;15;1;9;2;1;2;-;3;10;35;5;1;3;7;5;3;-;69;174
"110037 Alto Alegre dos Parecis";-;-;4;1;7;-;-;-;-;-;2;15;2;1;1;8;1;1;-;26;69
"110040 Alto Paraíso";-;-;10;1;5;-;-;1;-;-;1;15;5;-;1;4;-;2;-;20;65
"110034 Alvorada D'Oeste";1;1;3;2;5;1;-;-;-;1;6;19;3;-;1;1;2;2;1;24;73
"110002 Ariquemes";17;13;134;33;20;18;5;18;-;87;35;163;50;9;11;19;10;30;1;373;1046
"110045 Buritis";24;22;25;24;7;23;-;2;-;3;13;55;9;2;4;11;3;4;6;99;336
"110003 Cabixi";-;-;5;1;2;-;-;-;-;-;2;8;2;1;1;1;1;1;1;19;45
"110060 Cacaulândia";-;-;3;-;2;-;-;1;-;-;3;6;1;-;-;-;-;-;1;9;26
"110004 Cacoal";66;29;165;52;30;53;9;32;-;318;214;316;119;10;22;91;34;57;5;680;2302
"110070 Campo Novo de Rondônia";-;-;7;-;4;-;-;-;-;-;2;17;1;1;1;2;-;1;-;21;57
"110080 Candeias do Jamari";-;-;11;1;8;-;-;1;-;1;8;29;2;-;1;1;1;2;4;23;93
"110090 Castanheiras";-;-;11;-;4;-;1;1;-;3;2;5;1;-;1;1;1;1;1;16;49
"110005 Cerejeiras";1;2;11;-;5;-;2;1;-;-;10;20;5;1;-;3;3;2;3;51;120
"110092 Chupinguaia";-;-;7;-;4;-;-;-;-;-;6;9;2;3;1;2;-;4;8;12;58
"110006 Colorado do Oeste";-;-;10;-;5;-;-;2;-;4;3;18;7;1;-;8;1;6;1;65;131
"110007 Corumbiara";-;-;3;-;3;-;-;-;-;-;3;11;-;-;-;1;-;-;-;22;43
"110008 Costa Marques";-;-;6;-;5;-;-;1;-;-;6;15;1;-;-;3;2;1;2;18;60
"110094 Cujubim";-;-;10;-;3;-;-;2;-;-;2;16;1;-;-;3;-;1;-;30;68
"110009 Espigão D'Oeste";3;1;19;6;7;3;1;5;-;1;13;29;9;1;2;1;2;3;2;91;199
"110100 Governador Jorge Teixeira";-;-;2;-;5;-;-;-;-;-;-;11;2;-;-;1;1;1;4;14;41
"110010 Guajará-Mirim";2;6;48;7;15;6;-;3;-;-;30;53;5;1;2;6;5;4;-;120;313
"110110 Itapuã do Oeste";-;-;5;-;3;-;-;-;-;-;4;13;1;-;1;1;-;-;-;18;46
"110011 Jaru";10;3;40;14;17;4;2;4;-;23;65;69;15;8;7;51;10;17;4;131;494
"110012 Ji-Paraná";10;18;173;32;32;19;9;15;-;130;169;146;63;13;16;101;19;48;10;269;1292
"110013 Machadinho D'Oeste";1;1;9;2;8;-;-;1;-;1;9;30;2;2;2;7;3;2;4;46;130
"110120 Ministro Andreazza";-;-;8;-;3;-;-;-;-;-;6;8;1;-;-;1;-;-;-;17;44
"110130 Mirante da Serra";-;1;12;1;3;-;-;1;-;-;3;13;1;-;-;1;2;-;-;17;55
"110140 Monte Negro";1;1;12;-;3;-;-;1;-;-;-;19;2;-;1;6;1;1;3;34;85
"110014 Nova Brasilândia D'Oeste";-;1;8;2;5;-;-;1;-;-;7;20;6;1;2;2;1;3;3;22;84
"110033 Nova Mamoré";-;2;11;1;6;-;-;-;-;-;3;24;8;2;2;3;2;1;-;35;100
"110143 Nova União";-;-;3;-;1;-;-;-;-;-;1;8;1;-;-;1;-;-;-;9;24
"110050 Novo Horizonte do Oeste";-;-;6;-;2;-;-;2;-;-;1;8;2;-;-;2;2;2;-;11;38
"110015 Ouro Preto do Oeste";5;5;36;13;14;16;4;8;-;33;20;44;11;2;4;6;4;5;-;115;345
"110145 Parecis";-;-;4;-;3;-;-;-;-;-;2;4;1;-;-;1;-;1;-;12;28
"110018 Pimenta Bueno";4;1;32;8;9;4;1;3;-;8;51;54;29;1;2;41;6;17;-;107;378
"110146 Pimenteiras do Oeste";-;-;2;-;1;-;-;-;-;-;3;9;2;1;-;1;2;1;-;8;30
"110020 Porto Velho";298;188;790;188;102;267;37;148;1;1458;548;1510;471;125;141;274;146;237;29;3863;10821
"110025 Presidente Médici";1;1;12;2;8;-;3;-;-;-;18;25;5;-;2;9;3;4;3;39;135
"110147 Primavera de Rondônia";-;-;2;-;1;-;-;-;-;-;1;6;-;-;-;-;-;1;1;8;20
"110026 Rio Crespo";-;-;4;-;2;-;-;-;-;-;1;7;1;-;-;1;-;-;-;14;30
"110028 Rolim de Moura";3;2;27;13;16;4;2;10;-;24;68;63;21;3;2;10;5;19;10;77;379
"110029 Santa Luzia D'Oeste";-;-;9;-;3;-;-;1;-;-;1;10;1;1;-;1;-;1;2;18;48
