IBGE code,Municipality,Hospitals within 5km
260005,Abreu e Lima,6
260010,Afogados da Ingazeira,4
260020,Afrânio,0
260030,Agrestina,1
260040,Água Preta,2
260050,Águas Belas,1
260060,Alagoinha,0
260070,Aliança,0
260080,Altinho,0
260090,Amaraji,1
260100,Angelim,1
260105,Araçoiaba,2
260110,Araripina,3
260120,Arcoverde,4
260130,Barra de Guabiraba,0
260140,Barreiros,2
260150,Belém de Maria,1
260160,Belém do São Francisco,0
260170,Belo Jardim,2
260180,Betânia,0
260190,Bezerros,3
260200,Bodocó,0
260210,Bom Conselho,0
260220,Bom Jardim,0
260230,Bonito,1
260240,Brejão,0
260250,Brejinho,0
260260,Brejo da Madre de Deus,1
260270,Buenos Aires,0
260280,Buíque,0
260290,Cabo de Santo Agostinho,17
260300,Cabrobó,4
260310,Cachoeirinha,1
260320,Caetés,0
260330,Calçado,0
260340,Calumbi,0
260345,Camaragibe,21
260350,Camocim de São Félix,1
260360,Camutanga,0
260370,Canhotinho,0
260380,Capoeiras,0
260390,Carnaíba,3
260392,Carnaubeira da Penha,0
260400,Carpina,2
260410,Caruaru,30
260415,Casinhas,0
260420,Catende,1
260430,Cedro,3
260440,Chã de Alegria,0
260450,Chã Grande,1
260460,Condado,1
260470,Correntes,1
260480,Cortês,0
260490,Cumaru,0
260500,Cupira,0
260510,Custódia,1
260515,Dormentes,1
260520,Escada,1
260530,Exu,1
260540,Feira Nova,1
260545,Fernando de Noronha,1
260550,Ferreiros,0
260560,Flores,1
260570,Floresta,0
260580,Frei Miguelinho,0
260590,Gameleira,0
260600,Garanhuns,9
260610,Glória do Goitá,0
260620,Goiana,4
260630,Granito,3
260640,Gravatá,2
260650,Iati,0
260660,Ibimirim,2
260670,Ibirajuba,0
260680,Igarassu,1
260690,Iguaracy,0
260700,Inajá,1
260710,Ingazeira,0
260720,Ipojuca,1
260730,Ipubi,1
260740,Itacuruba,0
260750,Itaíba,1
260760,Ilha de Itamaracá,1
260765,Itambé,1
260770,Itapetim,3
260775,Itapissuma,1
260780,Itaquitinga,0
260790,Jaboatão dos Guararapes,2
260795,Jaqueira,0
260800,Jataúba,0
260805,Jatobá,0
260810,João Alfredo,0
260820,Joaquim Nabuco,1
260825,Jucati,0
260830,Jupi,0
260840,Jurema,0
260845,Lagoa do Carro,0
260850,Lagoa de Itaenga,1
260860,Lagoa do Ouro,0
260870,Lagoa dos Gatos,0
260875,Lagoa Grande,0
260880,Lajedo,1
260890,Limoeiro,2
260900,Macaparana,1
260910,Machados,1
260915,Manari,0
260920,Maraial,1
260930,Mirandiba,3
260940,Moreno,2
260950,Nazaré da Mata,3
260960,Olinda,35
260970,Orobó,1
260980,Orocó,1
260990,Ouricuri,4
261000,Palmares,5
261010,Palmeirina,0
261020,Panelas,1
261030,Paranatama,0
261040,Parnamirim,2
261050,Passira,0
261060,Paudalho,3
261070,Paulista,14
261080,Pedra,1
261090,Pesqueira,4
261100,Petrolândia,1
261110,Petrolina,14
261120,Poção,0
261130,Pombos,0
261140,Primavera,0
261150,Quipapá,0
261153,Quixaba,0
261160,Recife,143
261170,Riacho das Almas,0
261180,Ribeirão,1
261190,Rio Formoso,1
261200,Sairé,2
261210,Salgadinho,0
261220,Salgueiro,4
261230,Saloá,0
261240,Sanharó,0
261245,Santa Cruz,2
261247,Santa Cruz da Baixa Verde,2
261250,Santa Cruz do Capibaribe,4
261255,Santa Filomena,1
261260,Santa Maria da Boa Vista,1
261270,Santa Maria do Cambucá,0
261280,Santa Terezinha,0
261290,São Benedito do Sul,0
261300,São Bento do Una,1
261310,São Caetano,0
261320,São João,1
261330,São Joaquim do Monte,0
261340,São José da Coroa Grande,1
261350,São José do Belmonte,1
261360,São José do Egito,4
261370,São Lourenço da Mata,7
261380,São Vicente Ferrer,1
261390,Serra Talhada,5
261400,Serrita,0
261410,Sertânia,1
261420,Sirinhaém,1
261430,Moreilândia,0
261440,Solidão,0
261450,Surubim,1
261460,Tabira,4
261470,Tacaimbó,0
261480,Tacaratu,3
261485,Tamandaré,1
261500,Taquaritinga do Norte,1
261510,Terezinha,0
261520,Terra Nova,1
261530,Timbaúba,2
261540,Toritama,1
261550,Tracunhaém,1
261560,Trindade,0
261570,Triunfo,1
261580,Tupanatinga,1
261590,Tuparetama,1
261600,Venturosa,0
261610,Verdejante,0
261618,Vertente do Lério,0
261620,Vertentes,0
261630,Vicência,0
261640,Vitória de Santo Antão,6
261650,Xexéu,1
